epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.609,1.6395,2.51146,1.78639,0.62556,0.50495,0.55091,0.2898,1.49533,2.2198,1.59678,0.00999042,0.00333014,0.00999042,0.00333014,0.00999042,0.00333014,0.00999042,0.00333014
2,360.756,1.60523,2.06455,1.76178,0.46153,0.43231,0.4051,0.18331,1.73023,2.78994,1.90113,0.0197925,0.00659751,0.0197925,0.00659751,0.0197925,0.00659751,0.0197925,0.00659751
3,517.317,1.75583,2.29831,1.89597,0.4059,0.36434,0.31426,0.13459,1.85459,3.12392,2.0011,0.0293966,0.00979887,0.0293966,0.00979887,0.0293966,0.00979887,0.0293966,0.00979887
4,672.07,1.8431,2.55537,2.00552,0.42363,0.41787,0.36472,0.17368,1.68832,2.83321,1.88556,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,828.887,1.759,2.38985,1.95937,0.50123,0.46967,0.47771,0.22545,1.67128,2.497,1.87945,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,988.06,1.67337,2.23532,1.88827,0.61367,0.53056,0.55925,0.28035,1.55396,2.10293,1.77995,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1148.22,1.6428,2.12836,1.85503,0.71778,0.5556,0.64355,0.31314,1.58201,1.99769,1.79008,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1308.75,1.58739,1.99404,1.79933,0.66247,0.62269,0.66494,0.35047,1.46411,1.80614,1.69241,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1464.16,1.53518,1.88906,1.75575,0.67863,0.63725,0.69568,0.37829,1.4176,1.59513,1.62264,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1618.43,1.50165,1.81642,1.72015,0.71657,0.68447,0.73686,0.42066,1.38921,1.5662,1.58449,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1763.95,1.47331,1.75186,1.68744,0.7851,0.70783,0.7753,0.43058,1.36579,1.54278,1.57977,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1912.9,1.45151,1.6892,1.67688,0.82713,0.69659,0.79123,0.44124,1.36973,1.3027,1.55395,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2057.6,1.42525,1.61594,1.64181,0.80473,0.72675,0.81484,0.47582,1.32874,1.41585,1.5114,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2204.33,1.40292,1.57405,1.62758,0.85298,0.74777,0.84013,0.49167,1.30927,1.26651,1.50601,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2349.86,1.3776,1.50812,1.61252,0.83382,0.76257,0.84394,0.4898,1.29893,1.17121,1.50666,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2495.36,1.37595,1.48763,1.60015,0.83837,0.78338,0.85298,0.50754,1.28469,1.28184,1.48959,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2641.85,1.3501,1.43993,1.58109,0.83554,0.80944,0.87491,0.52893,1.24457,1.14338,1.44487,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2786.95,1.34049,1.42024,1.56778,0.85775,0.81734,0.87454,0.5245,1.26952,1.08913,1.45479,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2933.23,1.32427,1.371,1.54648,0.87747,0.82792,0.8904,0.54381,1.21054,1.05583,1.39816,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3079.56,1.31147,1.35542,1.54986,0.8777,0.82864,0.89693,0.5622,1.20037,0.94377,1.38336,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3224.72,1.28398,1.30449,1.52441,0.88224,0.84084,0.911,0.57728,1.16802,0.9941,1.37148,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3370.81,1.27275,1.2749,1.50579,0.87429,0.85799,0.90669,0.56613,1.17513,0.98065,1.35619,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3515.88,1.26223,1.27875,1.50649,0.9109,0.84824,0.92405,0.58894,1.15559,0.94441,1.33314,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3662.4,1.24674,1.22387,1.47919,0.90006,0.86401,0.92556,0.59045,1.14943,1.02249,1.33991,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3808.64,1.24187,1.2227,1.48342,0.88193,0.86911,0.92672,0.59515,1.14612,1.07789,1.3298,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3953.86,1.23432,1.21398,1.48376,0.89411,0.88678,0.93673,0.61209,1.12906,0.91893,1.31071,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4100.66,1.21587,1.18285,1.46727,0.89593,0.87996,0.93742,0.60684,1.11661,0.93198,1.30845,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4245.34,1.21458,1.16362,1.45514,0.90428,0.88595,0.9406,0.62271,1.09632,0.80782,1.28359,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4390.69,1.19402,1.1477,1.44054,0.91686,0.88295,0.94076,0.61671,1.09103,0.91855,1.27825,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4536.81,1.19388,1.1289,1.44126,0.89434,0.91153,0.95115,0.6345,1.08083,0.90136,1.26957,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4681.93,1.17458,1.11139,1.42295,0.92952,0.90507,0.95129,0.63241,1.08451,0.73493,1.25836,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4828.55,1.16947,1.11344,1.42222,0.92255,0.91216,0.95477,0.65081,1.03963,0.92139,1.2477,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4973.92,1.16093,1.07594,1.42125,0.93964,0.90466,0.95662,0.64846,1.03975,0.84273,1.24937,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5119.64,1.14957,1.06785,1.40618,0.93216,0.91534,0.95629,0.64556,1.05306,0.85609,1.24527,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5265.89,1.13349,1.04089,1.39374,0.93434,0.92296,0.95849,0.65941,1.01986,0.79531,1.21962,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5411.29,1.13173,1.02922,1.38356,0.92941,0.92425,0.95536,0.66313,1.026,0.83349,1.22447,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5558.28,1.12824,1.02912,1.38373,0.94102,0.92715,0.95897,0.66174,1.02074,0.78279,1.21844,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5704.32,1.11585,1.01593,1.38067,0.94481,0.92503,0.95952,0.6703,0.98996,0.77417,1.1948,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5849.21,1.11479,1.00723,1.37079,0.9361,0.93366,0.96623,0.67865,0.99581,0.73233,1.19562,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5997.25,1.1101,0.99203,1.36993,0.95208,0.93003,0.96516,0.67133,0.99364,0.72015,1.18581,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6140.88,1.09225,0.97616,1.35456,0.94356,0.94059,0.96375,0.68431,0.97526,0.70509,1.18002,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6288.51,1.08486,0.96085,1.34651,0.95892,0.92861,0.96579,0.68887,0.95488,0.68124,1.17231,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6434.76,1.07763,0.95554,1.34028,0.95209,0.94522,0.96775,0.69737,0.9317,0.60445,1.14867,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6579.39,1.06446,0.94092,1.33527,0.9396,0.9413,0.96748,0.69196,0.94802,0.66992,1.16819,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6727.75,1.06815,0.93873,1.33917,0.95508,0.94172,0.97004,0.70485,0.91641,0.63656,1.14069,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6872.05,1.05653,0.91216,1.31961,0.9641,0.94507,0.96982,0.70941,0.9049,0.62696,1.1299,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7019.27,1.04676,0.91544,1.31987,0.94447,0.94799,0.96967,0.70675,0.91502,0.67987,1.1317,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7165.43,1.04951,0.90946,1.31705,0.95195,0.94248,0.96656,0.70702,0.8974,0.59548,1.12609,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7310.6,1.03513,0.88829,1.31438,0.95689,0.94109,0.9676,0.70823,0.89795,0.54731,1.12131,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7458.93,1.02333,0.89308,1.30512,0.95373,0.94571,0.97244,0.7206,0.87947,0.61793,1.11795,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7603.82,1.02198,0.88562,1.30384,0.96034,0.94512,0.97325,0.72356,0.87714,0.56484,1.10498,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7749.96,1.00515,0.87589,1.29256,0.9567,0.94588,0.97247,0.72617,0.85428,0.56462,1.08669,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7896.7,1.00317,0.8597,1.28462,0.95928,0.94512,0.97253,0.72464,0.85237,0.55753,1.0828,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8040.86,1.00265,0.85541,1.28184,0.96446,0.95222,0.97663,0.73608,0.83716,0.53541,1.07213,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8188.82,1.00408,0.86788,1.28551,0.95747,0.94986,0.97627,0.73568,0.84026,0.62104,1.08213,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8334.15,0.99834,0.85012,1.27996,0.96477,0.9551,0.97852,0.74069,0.82973,0.53216,1.06937,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8480.05,0.99072,0.84933,1.27263,0.95428,0.95589,0.97475,0.73995,0.83628,0.5059,1.07084,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8627.28,0.97849,0.83309,1.26643,0.95796,0.95416,0.97013,0.7402,0.82003,0.51832,1.06255,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8771.25,0.96569,0.8112,1.26024,0.96662,0.95396,0.97368,0.73727,0.81629,0.51046,1.06117,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8919.75,0.96629,0.81296,1.25629,0.96819,0.94215,0.97262,0.74534,0.80317,0.46798,1.05666,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9065.9,0.95547,0.8112,1.25245,0.96196,0.9535,0.97252,0.74992,0.80526,0.47435,1.05281,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9211.85,0.96274,0.80994,1.2534,0.96943,0.95498,0.97474,0.7523,0.79687,0.46733,1.04231,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,9357.79,0.94695,0.79251,1.2379,0.97072,0.95897,0.97591,0.7543,0.79507,0.4485,1.04318,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9502.53,0.94003,0.78752,1.23432,0.97094,0.95697,0.97799,0.75896,0.78516,0.44454,1.03585,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9648.85,0.93562,0.78584,1.23481,0.96932,0.95828,0.97599,0.75845,0.78958,0.45166,1.04185,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
